community_id,community_name,year_founded,avg_member_age,community_tier,region_name,gaming_platform
52,"Impact Wolves",2020,22.00,Amateur,Iceland,"Nintendo Switch Online"
53,"Dragon Scale",2021,19.10,Amateur,Ireland,"Nintendo Switch Online"
54,"Ghost Protocol",2020,22.60,Semi-Pro,"New Zealand","PC Steam"
55,"Dusk Raiders",2020,15.70,Amateur,Singapore,"Discord Hub"
56,"Sky Wolves",2023,22.60,Semi-Pro,Malaysia,"PC Steam"
57,"Arcane Brotherhood",2023,16.50,Semi-Pro,Thailand,"PlayStation Network"
58,"Plateau Riders",2016,19.60,Amateur,Vietnam,"Discord Hub"
59,"Savage Storm",2016,29.30,Semi-Pro,Philippines,"Discord Hub"
60,"Shadow Reapers",2022,20.50,Amateur,Indonesia,"Discord Hub"
61,"Helix Hunters",2021,23.80,Semi-Pro,India,"Discord Hub"
62,"Spike Rush",2018,27.90,Amateur,Pakistan,"Discord Hub"
63,"Crystal Spire",2016,24.80,Amateur,Bangladesh,"Discord Hub"
64,"Eclipse Hunters",2021,17.30,Professional,"Sri Lanka","PlayStation Network"
65,"Eclipse Hunters B",2023,26.10,Amateur,"Saudi Arabia","Xbox Live"
66,"Neon Surge",2023,14.10,Semi-Pro,UAE,"PC Steam"
67,"Solstice Squad",2019,23.20,Amateur,Egypt,"Discord Hub"
68,Velocity,2020,24.10,Semi-Pro,"South Africa","Discord Hub"
69,"Dark Matter",2020,21.70,Amateur,Nigeria,"PC Steam"
70,"Forest Wolves",2017,19.90,Professional,Kenya,"Discord Hub"
71,"Storm Hawks",2019,25.00,Amateur,Morocco,"Discord Hub"
72,"Stellar Blaze",2016,22.00,Amateur,Algeria,"Discord Hub"
73,Warpath,2017,27.00,Professional,Tunisia,"PC Steam"
74,"Orbital Strike",2020,16.00,Amateur,Argentina,"Nintendo Switch Online"
75,"Sky Titans",2016,16.30,Amateur,Chile,"Discord Hub"
76,"Shadow Council",2024,22.50,Semi-Pro,Colombia,"Xbox Live"
77,"Emerald Legion",2024,20.60,Semi-Pro,Peru,"Nintendo Switch Online"
78,"Night Stalker",2019,25.50,Semi-Pro,Venezuela,"PC Steam"
79,"Pale Riders",2020,22.60,Amateur,Ecuador,"Discord Hub"
80,"Antimatter Legion",2018,18.80,Semi-Pro,Uruguay,"PlayStation Network"
81,"Sakura Blades",2020,24.30,Semi-Pro,Paraguay,"PlayStation Network"
82,"Rustic Raiders",2019,31.80,Semi-Pro,Bolivia,"Discord Hub"
83,"Phantom Legion",2019,22.80,Amateur,"Costa Rica","Nintendo Switch Online"
84,"Thunder Clan",2020,16.20,Semi-Pro,Panama,"PlayStation Network"
85,"Crimson Dragon",2017,20.80,Amateur,Guatemala,"Discord Hub"
86,"Raider Nation",2016,17.80,Amateur,Honduras,"Discord Hub"
87,"Specter Division",2022,23.70,Semi-Pro,"El Salvador","Discord Hub"
88,"Frost Legion",2018,19.90,Amateur,Nicaragua,"PC Steam"
89,"Rapid Fire",2018,17.10,Amateur,"Dominican Republic","Discord Hub"
90,"Neon Eagles",2018,16.80,Amateur,"Puerto Rico","Discord Hub"
91,"Rune Masters",2022,27.40,Semi-Pro,Jamaica,"Discord Hub"
92,"Crimson Pact",2019,25.50,Semi-Pro,Trinidad,"PlayStation Network"
93,"Chaos Legion",2021,33.20,Semi-Pro,China,"Discord Hub"
94,Hellstorm,2020,19.90,Semi-Pro,Taiwan,"Nintendo Switch Online"
95,"Solar Wings",2018,26.40,Semi-Pro,"Hong Kong","Discord Hub"
96,"Silent Killers",2017,21.20,Amateur,Macau,"Discord Hub"
97,"Wild Fire",2019,19.70,Amateur,Mongolia,"Discord Hub"
98,"Fallen Angels",2012,25.80,Professional,Kazakhstan,"PC Steam"
99,"Titan Fall",2012,24.30,Semi-Pro,Uzbekistan,"Discord Hub"
100,"Void Reapers",2020,18.50,Semi-Pro,Azerbaijan,"PlayStation Network"
101,"Shadow Hunters",2017,24.10,Semi-Pro,"United States","Discord Hub"
102,"Vortex Clan",2019,21.00,Semi-Pro,"United States","Discord Hub"
103,"Aero Force",2021,23.30,Amateur,"United Kingdom","Discord Hub"
104,"Titan Guard",2019,16.00,Professional,Canada,"Discord Hub"
105,"Viper Force",2021,26.60,Amateur,Germany,"PlayStation Network"
106,"Phantom Unit",2023,22.90,Amateur,France,"Discord Hub"
107,"Cyber Wolves",2017,17.50,Professional,Australia,"Discord Hub"
108,"Solar Guardians",2017,26.70,Amateur,"South Korea","Xbox Live"
109,"Warp Zone",2012,17.00,Amateur,Japan,"PC Steam"
110,"Blaze Guard",2012,23.80,Professional,Brazil,"Discord Hub"
111,"Silent Shadows",2020,22.10,Professional,Nordic,"Discord Hub"
112,"Ghost Guard",2020,21.60,Professional,"Eastern Europe","Discord Hub"
113,"Rogue Wave",2020,22.40,Amateur,"Middle East","Nintendo Switch Online"
114,"Neon Tide",2022,22.60,Amateur,"Southeast Asia","Nintendo Switch Online"
115,"Primal Surge",2021,21.30,Amateur,Mexico,"Discord Hub"
116,"Shadow Pack",2018,26.50,Amateur,Oceania,"Discord Hub"
117,"Delta Squad",2018,17.20,Semi-Pro,"Global East","PC Steam"
118,"Alpha Wolves",2018,22.10,Amateur,"Global West","Discord Hub"
119,"Nova Force",2023,24.30,Amateur,"Central America","PC Steam"
120,"Savage Claws",2023,31.80,Amateur,Iberia,"Discord Hub"
121,"Rogue Agents",2020,22.80,Amateur,Benelux,"Discord Hub"
122,"Frost Bite",2018,16.20,Professional,Italy,"Discord Hub"
123,"Static Shock",2018,20.80,Semi-Pro,Spain,"Discord Hub"
124,"Vector Force",2018,17.80,Professional,Portugal,"PC Steam"
125,"Apex Guard",2022,23.70,Amateur,Netherlands,"Discord Hub"
126,"Iron Brotherhood",2021,19.90,Amateur,Belgium,"Discord Hub"
127,"Neon Dragons",2021,17.10,Semi-Pro,Switzerland,"Discord Hub"
128,"Shadow Rangers",2021,16.80,Amateur,Austria,"Discord Hub"
129,"Cyber Strike",2018,27.40,Amateur,Poland,"Discord Hub"
130,"Warp Force",2015,25.50,Semi-Pro,Turkey,"PC Steam"
131,"Solar Flares",2020,33.20,Amateur,Ukraine,"Discord Hub"
132,"Stellar Raiders",2024,19.90,Semi-Pro,"Czech Republic","PC Steam"
133,"Primal Vanguard",2020,26.40,Amateur,Hungary,"Discord Hub"
134,"Giga Byte",2023,21.20,Professional,Romania,"Discord Hub"
135,"Dark Legion",2023,19.70,Amateur,Bulgaria,"Discord Hub"
136,"Neon Vanguard",2016,25.80,Professional,Greece,"PC Steam"
137,"Spectral Wolves",2016,24.30,Professional,Croatia,"Discord Hub"
138,"Phoenix Flame",2016,18.50,Semi-Pro,Serbia,"PlayStation Network"
139,"Frost Vanguard",2023,24.10,Amateur,Slovakia,"Discord Hub"
140,"Iron Elite",2016,21.00,Amateur,Slovenia,"Discord Hub"
141,"Midnight Shadows",2016,23.30,Semi-Pro,Estonia,"Discord Hub"
142,"Delta Force",2024,16.00,Amateur,Latvia,"Discord Hub"
143,"Cyber Elite",2016,26.60,Amateur,Lithuania,"Discord Hub"
144,"Echo Elite",2019,22.90,Semi-Pro,Finland,"Discord Hub"
145,"Solar Elite",2018,17.50,Amateur,Sweden,"Discord Hub"
146,"Stellar Elite",2019,26.70,Professional,Norway,"Xbox Live"
147,"Warp Elite",2019,17.00,Semi-Pro,Denmark,"PC Steam"
148,"Primal Elite",2023,23.80,Amateur,Iceland,"Discord Hub"
149,"Neon Elite",2020,22.10,Amateur,Ireland,"Discord Hub"
150,"Shadow Elite",2018,21.60,Amateur,"New Zealand","Discord Hub"
151,"Cyber Guard",2020,22.40,Amateur,Singapore,"Nintendo Switch Online"
152,"Vector Guard",2013,22.60,Amateur,Malaysia,"Nintendo Switch Online"
153,"Apex Elite",2023,21.30,Amateur,Thailand,"Discord Hub"
154,"Iron Guard",2016,26.50,Amateur,Vietnam,"Discord Hub"
155,"Midnight Elite",2018,17.20,Amateur,Philippines,"PC Steam"
156,"Delta Guard",2024,22.10,Semi-Pro,Indonesia,"Discord Hub"
157,"Echo Guard",2019,24.30,Semi-Pro,India,"PC Steam"
158,"Solar Shield",2019,31.80,Amateur,Pakistan,"Discord Hub"
159,"Stellar Guard",2019,22.80,Amateur,Bangladesh,"Discord Hub"
160,"Warp Guard",2023,16.20,Amateur,"Sri Lanka","Discord Hub"
161,"Primal Shield",2023,20.80,Amateur,"Saudi Arabia","Discord Hub"
162,"Neon Shield",2020,17.80,Semi-Pro,UAE,"PC Steam"
163,"Shadow Shield",2018,23.70,Amateur,Egypt,"Discord Hub"
164,"Cyber Shield",2018,19.90,Amateur,"South Africa","Discord Hub"
165,"Vector Shield",2020,17.10,Amateur,Nigeria,"Discord Hub"
166,"Apex Shield",2024,16.80,Semi-Pro,Kenya,"Discord Hub"
167,"Iron Shield",2020,27.40,Amateur,Morocco,"Discord Hub"
168,"Midnight Shield",2023,25.50,Amateur,Algeria,"Discord Hub"
169,"Delta Shield",2023,33.20,Professional,Tunisia,"PlayStation Network"
170,"Echo Shield",2019,19.90,Professional,Argentina,"PC Steam"
171,"Solar Core",2020,26.40,Semi-Pro,Chile,"Discord Hub"
172,"Stellar Core",2020,21.20,Amateur,Colombia,"Discord Hub"
173,"Warp Core",2017,19.70,Professional,Peru,"Discord Hub"
174,"Primal Core",2016,25.80,Professional,Venezuela,"PC Steam"
175,"Neon Core",2022,24.30,Amateur,Ecuador,"Discord Hub"
176,"Shadow Core",2021,18.50,Amateur,Uruguay,"PlayStation Network"
177,"Cyber Core",2016,24.10,Professional,Paraguay,"Discord Hub"
178,"Vector Core",2021,21.00,Professional,Bolivia,"Discord Hub"
179,"Apex Core",2021,23.30,Semi-Pro,"Costa Rica","Discord Hub"
180,"Iron Core",2018,16.00,Professional,Panama,"Discord Hub"
181,"Midnight Core",2015,26.60,Professional,Guatemala,"PlayStation Network"
182,"Delta Core",2020,22.90,Amateur,Honduras,"Discord Hub"
183,"Echo Core",2024,17.50,Professional,"El Salvador","Discord Hub"
184,"Solar Nexus",2020,26.70,Professional,Nicaragua,"Discord Hub"
185,"Stellar Nexus",2020,17.00,Semi-Pro,"Dominican Republic","Nintendo Switch Online"
186,"Warp Nexus",2021,23.80,Professional,"Puerto Rico","Nintendo Switch Online"
187,"Primal Nexus",2020,22.10,Professional,Jamaica,"Discord Hub"
188,"Neon Nexus",2020,21.60,Professional,Trinidad,"PC Steam"
189,"Shadow Nexus",2023,22.40,Amateur,China,"Discord Hub"
190,"Cyber Nexus",2023,22.60,Amateur,Taiwan,"PC Steam"
191,"Vector Nexus",2023,21.30,Amateur,"Hong Kong","PlayStation Network"
192,"Apex Nexus",2016,26.50,Amateur,Macau,"Discord Hub"
193,"Iron Nexus",2016,17.20,Amateur,Mongolia,"Discord Hub"
194,"Midnight Nexus",2022,22.10,Amateur,Kazakhstan,"Discord Hub"
195,"Delta Nexus",2021,24.30,Professional,Uzbekistan,"Discord Hub"
196,"Echo Nexus",2018,31.80,Professional,Azerbaijan,"Discord Hub"
197,"Solar Apex",2016,22.80,Amateur,"United States","Discord Hub"
198,"Stellar Apex",2021,16.20,Amateur,"United States","Discord Hub"
199,"Warp Apex",2021,20.80,Amateur,"United Kingdom","Discord Hub"
200,"Primal Apex",2023,17.80,Semi-Pro,Canada,"Xbox Live"
201,"Stellar Zenith",2017,24.10,Semi-Pro,Germany,"Discord Hub"
202,"Warp Zenith",2019,21.00,Semi-Pro,France,"Discord Hub"
203,"Primal Zenith",2021,23.30,Amateur,Australia,"Discord Hub"
204,"Neon Zenith",2019,16.00,Professional,"South Korea","Discord Hub"
205,"Shadow Horizon",2021,26.60,Amateur,Japan,"PlayStation Network"
206,"Cyber Horizon",2023,22.90,Amateur,Brazil,"Discord Hub"
207,"Vector Horizon",2017,17.50,Professional,Nordic,"Discord Hub"
208,"Apex Horizon",2017,26.70,Amateur,"Eastern Europe","Xbox Live"
209,"Iron Horizon",2012,17.00,Amateur,"Middle East","PC Steam"
210,"Midnight Horizon",2012,23.80,Professional,"Southeast Asia","Discord Hub"
211,"Delta Horizon",2020,22.10,Professional,Mexico,"Discord Hub"
212,"Echo Horizon",2020,21.60,Professional,Oceania,"Discord Hub"
213,"Solar Shift",2020,22.40,Amateur,"Global East","Nintendo Switch Online"
214,"Stellar Shift",2022,22.60,Amateur,"Global West","Nintendo Switch Online"
215,"Warp Shift",2021,21.30,Amateur,"Central America","Discord Hub"
216,"Primal Shift",2018,26.50,Amateur,Iberia,"Discord Hub"
217,"Neon Shift",2018,17.20,Semi-Pro,Benelux,"PC Steam"
218,"Shadow Shift",2018,22.10,Amateur,Italy,"Discord Hub"
219,"Cyber Shift",2023,24.30,Amateur,Spain,"PC Steam"
220,"Vector Shift",2023,31.80,Amateur,Portugal,"Discord Hub"
221,"Apex Shift",2020,22.80,Amateur,Netherlands,"Discord Hub"
222,"Iron Shift",2018,16.20,Professional,Belgium,"Discord Hub"
223,"Midnight Shift",2018,20.80,Semi-Pro,Switzerland,"Discord Hub"
224,"Delta Shift",2018,17.80,Professional,Austria,"PC Steam"
225,"Echo Shift",2022,23.70,Amateur,Poland,"Discord Hub"
226,"Solar Matrix",2021,19.90,Amateur,Turkey,"Discord Hub"
227,"Stellar Matrix",2021,17.10,Semi-Pro,Ukraine,"Discord Hub"
228,"Warp Matrix",2021,16.80,Amateur,"Czech Republic","Discord Hub"
229,"Primal Matrix",2018,27.40,Amateur,Hungary,"Discord Hub"
230,"Neon Matrix",2015,25.50,Semi-Pro,Romania,"PC Steam"
231,"Shadow Matrix",2020,33.20,Amateur,Bulgaria,"Discord Hub"
232,"Cyber Matrix",2024,19.90,Semi-Pro,Greece,"PC Steam"
233,"Vector Matrix",2020,26.40,Amateur,Croatia,"Discord Hub"
234,"Apex Matrix",2023,21.20,Professional,Serbia,"Discord Hub"
235,"Iron Matrix",2023,19.70,Amateur,Slovakia,"Discord Hub"
236,"Midnight Matrix",2016,25.80,Professional,Slovenia,"PC Steam"
237,"Delta Matrix",2016,24.30,Professional,Estonia,"Discord Hub"
238,"Echo Matrix",2016,18.50,Semi-Pro,Latvia,"PlayStation Network"
239,"Phoenix Wings",2023,24.10,Amateur,Lithuania,"Discord Hub"
240,"Viper Claw",2016,21.00,Amateur,Finland,"Discord Hub"
241,"Thundercat Squad",2016,23.30,Semi-Pro,Sweden,"Discord Hub"
242,"Lunar Pulse",2024,16.00,Amateur,Norway,"Discord Hub"
243,"Sunfire Strike",2016,26.60,Amateur,Denmark,"Discord Hub"
244,"Quantum Flux",2019,22.90,Semi-Pro,Iceland,"Discord Hub"
245,"Solar Flares Unit",2018,17.50,Amateur,Ireland,"Discord Hub"
246,"Packet Droppers",2019,26.70,Professional,"New Zealand","Xbox Live"
247,"Thunder Core",2019,17.00,Semi-Pro,Singapore,"PC Steam"
248,"Pixel Vanguard",2023,23.80,Amateur,Malaysia,"Discord Hub"
249,"Midnight Edge",2020,22.10,Amateur,Thailand,"Discord Hub"
250,"Flick Gods",2018,21.60,Amateur,Vietnam,"Discord Hub"
251,"Galaxy Watch",2020,22.40,Amateur,Philippines,"Nintendo Switch Online"
252,"Reaper Squad",2013,22.60,Amateur,Indonesia,"Nintendo Switch Online"
253,"War Hawks",2023,21.30,Amateur,India,"Discord Hub"
254,"Neon Strike",2016,26.50,Amateur,Pakistan,"Discord Hub"
255,"Entry Squad",2018,17.20,Amateur,Bangladesh,"PC Steam"
256,"Dark Matter Core",2024,22.10,Semi-Pro,"Sri Lanka","Discord Hub"
257,"Primal Instinct",2019,24.30,Semi-Pro,"Saudi Arabia","PC Steam"
258,"Equinox Division",2019,31.80,Amateur,UAE,"Discord Hub"
259,"Broken Arrow Elite",2019,22.80,Amateur,Egypt,"Discord Hub"
260,"War Hammer Core",2023,16.20,Amateur,"South Africa","Discord Hub"
261,"Starfall Legion",2023,20.80,Amateur,Nigeria,"Discord Hub"
262,"Black Ops Special",2020,17.80,Semi-Pro,Kenya,"PC Steam"
263,"Warp Horizon",2018,23.70,Amateur,Morocco,"Discord Hub"
264,"Desert Fox Division",2018,19.90,Amateur,Algeria,"Discord Hub"
265,"Crossfire Core",2020,17.10,Amateur,Tunisia,"Discord Hub"
266,"Havoc Core",2024,16.80,Semi-Pro,Argentina,"Discord Hub"
267,"Iron Shark Squad",2020,27.40,Amateur,Chile,"Discord Hub"
268,"Solar Eclipse",2023,25.50,Amateur,Colombia,"Discord Hub"
269,"Input Lag Unit",2023,33.20,Professional,Peru,"PlayStation Network"
270,"Typhoon Core",2019,19.90,Professional,Venezuela,"PC Steam"
271,"Momentum Force",2020,26.40,Semi-Pro,Ecuador,"Discord Hub"
272,"Ghost Squad Unit",2020,21.20,Amateur,Uruguay,"Discord Hub"
273,"Viper Strike Elite",2017,19.70,Professional,Paraguay,"Discord Hub"
274,"Phantom Strike Force",2016,25.80,Professional,Bolivia,"PC Steam"
275,"Impact Division",2022,24.30,Amateur,"Costa Rica","Discord Hub"
276,"Dragon Scale Elite",2021,18.50,Amateur,Panama,"PlayStation Network"
277,"Ghost Protocol Unit",2016,24.10,Professional,Guatemala,"Discord Hub"
278,"Dusk Raiders Core",2021,21.00,Professional,Honduras,"Discord Hub"
279,"Sky Pack",2021,23.30,Semi-Pro,"El Salvador","Discord Hub"
280,"Arcane Sect",2018,16.00,Professional,Nicaragua,"Discord Hub"
281,"Plateau Pack",2015,26.60,Professional,"Dominican Republic","PlayStation Network"
282,"Savage Storm Force",2020,22.90,Amateur,"Puerto Rico","Discord Hub"
283,"Shadow Vanguard",2024,17.50,Professional,Jamaica,"Discord Hub"
284,"Helix Hunters Core",2020,26.70,Professional,Trinidad,"Discord Hub"
285,"Spike Rush Unit",2020,17.00,Semi-Pro,China,"Nintendo Switch Online"
286,"Crystal Spire Core",2021,23.80,Professional,Taiwan,"Nintendo Switch Online"
287,"Eclipse Vanguard",2020,22.10,Professional,"Hong Kong","Discord Hub"
288,"Solstice Division",2020,21.60,Professional,Macau,"PC Steam"
289,"Velocity Force",2023,22.40,Amateur,Mongolia,"Discord Hub"
290,"Dark Matter Vanguard",2023,22.60,Amateur,Kazakhstan,"PC Steam"
291,"Forest Pack",2023,21.30,Amateur,Uzbekistan,"PlayStation Network"
292,"Storm Hawks Unit",2016,26.50,Amateur,Azerbaijan,"Discord Hub"
293,"Stellar Blaze Force",2016,17.20,Amateur,"North America","Discord Hub"
294,"Warpath Division",2022,22.10,Amateur,Europe,"Discord Hub"
295,"Orbital Strike Unit",2021,24.30,Professional,Asia-Pacific,"Discord Hub"
296,"Sky Titans Force",2018,31.80,Professional,"South America","Discord Hub"
297,"Shadow Council Core",2016,22.80,Amateur,Africa,"Discord Hub"
298,"Emerald Vanguard",2021,16.20,Amateur,"United States","Discord Hub"
299,"Night Stalker Core",2021,20.80,Amateur,"United Kingdom","Discord Hub"
300,"Pale Horse Riders",2023,17.80,Semi-Pro,Canada,"Xbox Live"
301,"Antimatter Unit",2017,24.10,Semi-Pro,"United States","Discord Hub"
302,"Sakura Blades Force",2019,21.00,Semi-Pro,"United States","Discord Hub"
303,"Rustic Division",2021,23.30,Amateur,"United Kingdom","Discord Hub"
304,"Phantom Vanguard",2019,16.00,Professional,Canada,"Discord Hub"
305,"Thunder Tribe",2021,26.60,Amateur,Germany,"PlayStation Network"
306,"Crimson Dragon Core",2023,22.90,Amateur,France,"Discord Hub"
307,"Raider Tribe",2017,17.50,Professional,Australia,"Discord Hub"
308,"Specter Core",2017,26.70,Amateur,"South Korea","Xbox Live"
309,"Frost Tribe",2012,17.00,Amateur,Japan,"PC Steam"
310,"Rapid Fire Unit",2012,23.80,Professional,Brazil,"Discord Hub"
311,"Neon Eagles Squad",2020,22.10,Professional,Nordic,"Discord Hub"
312,"Rune Vanguard",2020,21.60,Professional,"Eastern Europe","Discord Hub"
313,"Crimson Brotherhood",2020,22.40,Amateur,"Middle East","Nintendo Switch Online"
314,"Chaos Force",2022,22.60,Amateur,"Southeast Asia","Nintendo Switch Online"
315,"Hellstorm Elite",2021,21.30,Amateur,Mexico,"Discord Hub"
316,"Solar Wings Core",2018,26.50,Amateur,Oceania,"Discord Hub"
317,"Silent Killers Unit",2018,17.20,Semi-Pro,"Global East","PC Steam"
318,"Wild Fire Elite",2018,22.10,Amateur,"Global West","Discord Hub"
319,"Fallen Angels Core",2023,24.30,Amateur,"Central America","PC Steam"
320,"Titan Fall Division",2023,31.80,Amateur,Iberia,"Discord Hub"
321,"Void Reapers Force",2020,22.80,Amateur,Benelux,"Discord Hub"
322,"Solar Genesis",2018,16.20,Professional,Italy,"Discord Hub"
323,"Stellar Genesis",2018,20.80,Semi-Pro,Spain,"Discord Hub"
324,"Warp Genesis",2018,17.80,Professional,Portugal,"PC Steam"
325,"Primal Genesis",2022,23.70,Amateur,Netherlands,"Discord Hub"
326,"Neon Genesis",2021,19.90,Amateur,Belgium,"Discord Hub"
327,"Shadow Genesis",2021,17.10,Semi-Pro,Switzerland,"Discord Hub"
328,"Cyber Genesis",2021,16.80,Amateur,Austria,"Discord Hub"
329,"Vector Genesis",2018,27.40,Amateur,Poland,"Discord Hub"
330,"Apex Genesis",2015,25.50,Semi-Pro,Turkey,"PC Steam"
331,"Iron Genesis",2020,33.20,Amateur,Ukraine,"Discord Hub"
332,"Midnight Genesis",2024,19.90,Semi-Pro,"Czech Republic","PC Steam"
333,"Delta Genesis",2020,26.40,Amateur,Hungary,"Discord Hub"
334,"Echo Genesis",2023,21.20,Professional,Romania,"Discord Hub"
335,"Solar Horizon Unit",2023,19.70,Amateur,Bulgaria,"Discord Hub"
336,"Stellar Horizon Unit",2016,25.80,Professional,Greece,"PC Steam"
337,"Warp Horizon Unit",2016,24.30,Professional,Croatia,"Discord Hub"
338,"Primal Horizon Unit",2016,18.50,Semi-Pro,Serbia,"PlayStation Network"
339,"Neon Horizon Unit",2023,24.10,Amateur,Slovakia,"Discord Hub"
340,"Shadow Skyline",2016,21.00,Amateur,Slovenia,"Discord Hub"
341,"Cyber Skyline",2016,23.30,Semi-Pro,Estonia,"Discord Hub"
342,"Vector Skyline",2024,16.00,Amateur,Latvia,"Discord Hub"
343,"Apex Skyline",2016,26.60,Amateur,Lithuania,"Discord Hub"
344,"Iron Skyline",2019,22.90,Semi-Pro,Finland,"Discord Hub"
345,"Midnight Skyline",2018,17.50,Amateur,Sweden,"Discord Hub"
346,"Delta Skyline",2019,26.70,Professional,Norway,"Xbox Live"
347,"Raven Guard",2023,20.60,Professional,Mexico,"Xbox Live"
348,"Raging Tempest",2017,22.60,Amateur,Mexico,"Discord Hub"
349,"Dark Current",2020,24.60,Amateur,Singapore,"Discord Hub"
350,"Comet Strike",2020,24.40,Semi-Pro,Argentina,"Discord Hub"
351,"Iron Fist",2020,22.10,Amateur,"United Kingdom","Discord Hub"
352,"Void Walker",2023,26.20,Amateur,"Southeast Asia","Discord Hub"
353,"Abyss Walker",2018,24.20,Amateur,Asia-Pacific,"Discord Hub"
354,"Deep Walker",2024,23.20,Semi-Pro,"United States","Discord Hub"
355,"Sky Walker",2020,22.20,Semi-Pro,"United States","Discord Hub"
356,"Star Walker",2021,23.10,Amateur,"United Kingdom","Discord Hub"
357,"Sun Walker",2016,22.70,Amateur,Canada,"Discord Hub"
